stim_id,stim_type,em_restr,nem_restr,spill_region,restr_type,has_comp,comp_q,comp_left,comp_right,comp_correct,Context,CHUNK1,CHUNK2,CHUNK3,CHUNK4,RestrictorPosition,RestrictorType,Condition
1,exp,in Spain,in Italy,so I decided to go there.,country,1,What did I want to visit?,sandy beaches,beautiful beaches,j,I was flicking through a holiday brochure to find beautiful beaches to visit in Spain and other countries.,Every,beach,in Spain,"looked beautiful,",INT,EM,INT-EM
2,exp,in London,in Newcastle,so I booked straightaway.,city,1,Where did I want to stay?,quirky hotels,fancy hotels,f,I was on a website trying to find quirky hostels to stay at in London and other cities.,Every,hostel,in Newcastle,"seemed quirky,",INT,NEM,INT-NEM
3,exp,in Italy,in Scotland,so there was plenty of choice.,country,NQ,NQ,NQ,NQ,NQ,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,Every,restaurant,looked fancy,"in Italy,",EXT,EM,EXT-EM
4,exp,in Newcastle,in Edinburgh,so I had some deciding to do.,city,1,What did I want to enjoy?,ancient parks,nice parks,j,I was on a travel app researching nice parks to enjoy in Newcastle and other cities.,Every,park,seemed nice,"in Edinburgh,",EXT,NEM,EXT-NEM
5,exp,in Scotland,in Portugal,so I knew just where to go.,country,NQ,NQ,NQ,NQ,j,I was reading a blog to get some ideas for exciting markets to explore in Scotland and other countries.,Every,market,in Scotland,"looked exciting,",INT,EM,INT-EM
6,exp,in Edinburgh,in Rome,so I decided to go there.,city,1,What did I want to visit?,interesting monuments,tall monuments,f,I was checking out a guidebook to find suggestions for interesting monuments to visit in Edinburgh and other cities.,Every,monument,in Rome,"seemed interesting,",INT,NEM,INT-NEM
7,exp,in Portugal,in Japan,so I booked straightaway.,country,NQ,NQ,NQ,NQ,NQ,I was flicking through a holiday brochure to find cool museums to visit in Portugal and other countries.,Every,museum,looked cool,"in Portugal,",EXT,EM,EXT-EM
8,exp,in Rome,in Gloucester,so there was plenty of choice.,city,NQ,NQ,NQ,NQ,NQ,I was on a website trying to find luxurious hotels to try out in Rome and other cities.,Every,hotel,seemed luxurious,"in Gloucester,",EXT,NEM,EXT-NEM
9,exp,in Japan,in Slovenia,so I had some deciding to do.,country,NQ,NQ,NQ,NQ,NQ,I was watching a vlog for inspiration for breathtaking views to enjoy in Japan and other countries.,Every,view,in Japan,"looked breathtaking,",INT,EM,INT-EM
10,exp,in Gloucester,in Cardiff,so I knew just where to go.,city,NQ,NQ,NQ,NQ,NQ,I was on a travel app researching lovely canals to explore in Gloucester and other cities.,Every,canal,in Cardiff,"seemed lovely,",INT,NEM,INT-NEM
11,exp,in Slovenia,in Germany,so I decided to go there.,country,1,What did I want to visit?,traditional villages,quaint villages,j,I was reading a blog to get some ideas for quaint vilages to visit in Slovenia and other countries.,Every,village,looked quaint,"in Slovenia,",EXT,EM,EXT-EM
