stim_id,stim_type,restr_men,restr_max,spill_region,restr_men_type,restr_max_type,comp_left,comp_right,comp_correct,comp_type,Context,CHUNK1,CHUNK2,CHUNK3,CHUNK4,comp_q,EXCEPTIVE,RestrictorType,ExceptivePosition,Condition
1,exp,in Spain,in the brochure,so I needed to do more research.,country,brochure,brochure,app,f,RESOURCE,I was flicking through a holiday brochure to find beautiful beaches to visit in Spain and other countries.,Every,beach,looked beautiful,"except those in the brochure,",What type of resource was I using to do my research?,except those in the brochure,MAX,PST,PST-MAX
2,exp,in London,on the website,so I had some deciding to do.,city,website,lovely,quirky,j,ADJ,I was on a website trying to find quirky hostels to stay at in London and other cities.,Every,hostel,except those in London,"seemed quirky,",What kind of hostel was I hoping to stay at?,except those in London,MEN,PRE,PRE-MEN
3,exp,in Italy,in the vlog,so I didn't know what to do.,country,vlog,Italy,China,f,PLACE,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,Every,restaurant,looked fancy,"except those in Italy,",What was one of the countries that I was considering going to?,except those in Italy,MEN,PST,PST-MEN
4,exp,in Newcastle,on the app,so I needed to do more research.,city,app,website,app,j,RESOURCE,I was on a travel app researching nice parks to enjoy in Newcastle and other cities.,Every,park,except those on the app,"seemed nice,",What kind of information source was I using for my research?,except those on the app,MAX,PRE,PRE-MAX
5,exp,in Scotland,in the blog,so I had some deciding to do.,country,blog,exciting,sprawling,f,ADJ,I was reading a blog to get some ideas for exciting markets to explore in Scotland and other countries.,Every,market,looked exciting,"except those in the blog,",What type of market did I want to explore?,except those in the blog,MAX,PST,PST-MAX
6,exp,in Edinburgh,in the brochure,so I didn't know what to do.,city,brochure,Utrecht,Edinburgh,j,PLACE,I was flicking through a holiday brochure to find interesting monuments to visit in Edinburgh and other cities.,Every,monument,except those in Edinburgh,"seemed interesting,",What was one of the cities that I was considering visiting?,except those in Edinburgh,MEN,PRE,PRE-MEN
7,exp,in Portugal,on the website,so I had some deciding to do.,country,website,website,blog,f,RESOURCE,I was on a website trying to find cool museums to visit in Portugal and other countries.,Every,museum,looked cool,"except those in Portugal,",What sort of material was I using for my research?,except those in Portugal,MEN,PST,PST-MEN
8,exp,in Rome,in the vlog,so I didn't know what to do.,city,vlog,high-end,luxurious,j,ADJ,I was watching a vlog for inspiration for luxurious hotels to try out in Rome and other cities.,Every,hotel,except those in the vlog,"seemed luxurious,",What sort of hotel was I hoping to try out?,except those in the vlog,MAX,PRE,PRE-MAX
9,exp,in Japan,on the app,so I needed to do more research.,country,app,Japan,Russia,f,PLACE,I was on a travel app researching breathtaking views to enjoy in Japan and other countries.,Every,view,looked breathtaking,"except those on the app,",What was one of the countries that I was thinking about travelling to?,except those on the app,MAX,PST,PST-MAX
10,exp,in Gloucester,in the blog,so I had some deciding to do.,city,blog,vlog,blog,j,RESOURCE,I was reading a blog to get some ideas for lovely canals to explore in Gloucester and other cities.,Every,canal,except those in Gloucester,"seemed lovely,",What type of resource was I consulting for my research?,except those in Gloucester,MEN,PRE,PRE-MEN
11,exp,in Slovenia,in the brochure,so I didn't know what to do.,country,brochure,quaint,scenic,f,ADJ,I was flicking through a holiday brochure to find quaint vilages to visit in Slovenia and other countries.,Every,village,looked quaint,"except those in Slovenia,",What kind of village did I want to visit?,except those in Slovenia,MEN,PST,PST-MEN
12,exp,in Cardiff,on the website,so I needed to do more research.,city,website,Delhi,Cardiff,j,PLACE,I was on a website trying to find cheap B&Bs to stay at in Cardiff and other cities.,Every,B&B,except those on the website,"seemed cheap,",What was one of the cities that I was thinking about going to?,except those on the website,MAX,PRE,PRE-MAX
13,exp,in Germany,in the vlog,so I didn't know what to do.,country,vlog,vlog,brochure,f,RESOURCE,I was watching a vlog for inspiration for picturesque campsites to try out in Germany and other countries.,Every,campsite,looked picturesque,"except those in the vlog,",What kind of information source was I consulting to do my research?,except those in the vlog,MAX,PST,PST-MAX
14,exp,in Budapest,on the app,so I needed to do more research.,city,app,impressive,relaxing,j,ADJ,I was on a travel app researching relaxing tours to enjoy in Budapest and other cities.,Every,tour,except those in Budapest,"seemed relaxing,",What type of tour was I hoping to enjoy?,except those in Budapest,MEN,PRE,PRE-MEN
15,exp,in Peru,in the blog,so I had some deciding to do.,country,blog,Peru,Sweden,f,PLACE,I was reading a blog to get some ideas for pretty towns to explore in Peru and other countries.,Every,town,looked pretty,"except those in Peru,",What was one of the countries that I was considering visiting?,except those in Peru,MEN,PST,PST-MEN
16,exp,in Venice,in the brochure,so I didn't know what to do.,city,brochure,app,brochure,j,RESOURCE,I was flicking through a holiday brochure to find high-end galleries to visit in Venice and other cities.,Every,gallery,except those in the brochure,"seemed high-end,",What sort of material was I consulting for my research?,except those in the brochure,MAX,PRE,PRE-MAX
17,exp,in France,on the website,so I needed to do more research.,country,website,old-fashioned,popular,f,ADJ,I was on a website trying to find old-fashioned guesthouses to stay at in France and other countries.,Every,guesthouse,looked old-fashioned,"except those on the website,",What sort of guesthouse did I want to stay at?,except those on the website,MAX,PST,PST-MAX
18,exp,in Glasgow,in the vlog,so I had some deciding to do.,city,vlog,Dundee,Glasgow,j,PLACE,I was watching a vlog for inspiration for cute cafés to try out in Glasgow and other cities.,Every,café,except those in Glasgow,"seemed cute,",What was one of the cities that I was considering travelling to?,except those in Glasgow,MEN,PRE,PRE-MEN
19,exp,in China,on the app,so I needed to do more research.,country,app,app,website,f,RESOURCE,I was on a travel app researching scenic hikes to enjoy in China and other countries.,Every,hike,looked scenic,"except those in China,",What type of resource was I looking at to do my research?,except those in China,MEN,PST,PST-MEN
20,exp,in Belfast,in the blog,so I had some deciding to do.,city,blog,stunning,ornate,j,ADJ,I was reading a blog to get some ideas for ornate churches to explore in Belfast and other cities.,Every,church,except those in the blog,"seemed ornate,",What kind of church was I hoping to explore?,except those in the blog,MAX,PRE,PRE-MAX
