stim_id,stim_type,restr_men,restr_max,spill_region,restr_men_type,restr_max_type,has_comp,comp_q,comp_left,comp_right,comp_correct,Context,CHUNK1,CHUNK2,CHUNK3,CHUNK4,RestrictorPosition,RestrictorType,Condition
1,exp,in Spain,in the brochure,so I booked straightaway.,country,brochure,1,What did I want to visit?,sandy beaches,beautiful beaches,j,I was flicking through a holiday brochure to find beautiful beaches to visit in Spain and other countries.,Every,beach,looked beautiful,"in Spain,",EXT,MEN,EXT-MEN
2,exp,in London,on the website,so I booked straightaway.,city,website,1,Where did I want to stay?,quirky hotels,fancy hotels,f,I was on a website trying to find quirky hostels to stay at in London and other cities.,Every,hostel,on the website,"seemed quirky,",INT,MAX,INT-MAX
3,exp,in Italy,in the vlog,so I booked straightaway.,country,vlog,NQ,NQ,NQ,NQ,NQ,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,Every,restaurant,in Italy,"looked fancy,",INT,MEN,INT-MEN
4,exp,in Newcastle,on the app,so I booked straightaway.,city,app,1,What did I want to enjoy?,ancient parks,nice parks,j,I was on a travel app researching nice parks to enjoy in Newcastle and other cities.,Every,park,seemed nice,"on the app,",EXT,MAX,EXT-MAX
5,exp,in Scotland,in the blog,so I booked straightaway.,country,blog,NQ,NQ,NQ,NQ,j,I was reading a blog to get some ideas for exciting markets to explore in Scotland and other countries.,Every,market,looked exciting,"in Scotland,",EXT,MEN,EXT-MEN
6,exp,in Edinburgh,in the brochure,so I booked straightaway.,city,brochure,1,What did I want to visit?,interesting monuments,tall monuments,f,I was flicking through a holiday brochure to find interesting monuments to visit in Edinburgh and other cities.,Every,monument,in the brochure,"seemed interesting,",INT,MAX,INT-MAX
7,exp,in Portugal,on the website,so there was plenty of choice.,country,website,NQ,NQ,NQ,NQ,NQ,I was on a website trying to find cool museums to visit in Portugal and other countries.,Every,museum,in Portugal,"looked cool,",INT,MEN,INT-MEN
8,exp,in Rome,in the vlog,so there was plenty of choice.,city,vlog,NQ,NQ,NQ,NQ,NQ,I was watching a vlog for inspiration for luxurious hotels to try out in Rome and other cities.,Every,hotel,seemed luxurious,"in the vlog,",EXT,MAX,EXT-MAX
9,exp,in Japan,on the app,so there was plenty of choice.,country,app,NQ,NQ,NQ,NQ,NQ,I was on a travel app researching breathtaking views to enjoy in Japan and other countries.,Every,view,looked breathtaking,"in Japan,",EXT,MEN,EXT-MEN
10,exp,in Gloucester,in the blog,so there was plenty of choice.,city,blog,NQ,NQ,NQ,NQ,NQ,I was reading a blog to get some ideas for lovely canals to explore in Gloucester and other cities.,Every,canal,in the blog,"seemed lovely,",INT,MAX,INT-MAX
11,exp,in Slovenia,in the brochure,so there was plenty of choice.,country,brochure,1,What did I want to visit?,traditional villages,quaint villages,j,I was flicking through a holiday brochure to find quaint vilages to visit in Slovenia and other countries.,Every,village,in Slovenia,"looked quaint,",INT,MEN,INT-MEN
12,exp,in Cardiff,on the website,so there was plenty of choice.,city,website,NQ,NQ,NQ,NQ,NQ,I was on a website trying to find cheap B&Bs to stay at in Cardiff and other cities.,Every,B&B,seemed cheap,"on the website,",EXT,MAX,EXT-MAX
13,exp,in Germany,in the vlog,so I had some deciding to do.,country,vlog,NQ,NQ,NQ,NQ,NQ,I was watching a vlog for inspiration for picturesque campsites to try out in Germany and other countries.,Every,campsite,looked picturesque,"in Germany,",EXT,MEN,EXT-MEN
14,exp,in Budapest,on the app,so I had some deciding to do.,city,app,1,What did I want to enjoy?,relaxing tours,exciting tours,f,I was on a travel app researching relaxing tours to enjoy in Budapest and other cities.,Every,tour,on the app,"seemed relaxing,",INT,MAX,INT-MAX
15,exp,in Peru,in the blog,so I had some deciding to do.,country,blog,NQ,NQ,NQ,NQ,NQ,I was reading a blog to get some ideas for pretty towns to explore in Peru and other countries.,Every,town,in Peru,"looked pretty,",INT,MEN,INT-MEN
16,exp,in Venice,in the brochure,so I had some deciding to do.,city,brochure,1,What did I want to visit?,low-key galleries,high-end galleries,j,I was flicking through a holiday brochure to find high-end galleries to visit in Venice and other cities.,Every,gallery,seemed high-end,"in the brochure,",EXT,MAX,EXT-MAX
17,exp,in France,on the website,so I had some deciding to do.,country,website,NQ,NQ,NQ,NQ,NQ,I was on a website trying to find old-fashioned guesthouses to stay at in France and other countries.,Every,guesthouse,looked old-fashioned,"in France,",EXT,MEN,EXT-MEN
18,exp,in Glasgow,in the vlog,so I had some deciding to do.,city,vlog,NQ,NQ,NQ,NQ,NQ,I was watching a vlog for inspiration for cute cafés to try out in Glasgow and other cities.,Every,café,in the vlog,"seemed cute,",INT,MAX,INT-MAX
19,exp,in China,on the app,so I knew just where to go.,country,app,NQ,NQ,NQ,NQ,NQ,I was on a travel app researching scenic hikes to enjoy in China and other countries.,Every,hike,in China,"looked scenic,",INT,MEN,INT-MEN
20,exp,in Belfast,in the blog,so I knew just where to go.,city,blog,1,What did I want to explore?,ornate churches,simple churches,f,I was reading a blog to get some ideas for ornate churches to explore in Belfast and other cities.,Every,church,seemed ornate,"in the blog,",EXT,MAX,EXT-MAX
21,exp,in Switzerland,in the brochure,so I knew just where to go.,country,brochure,NQ,NQ,NQ,NQ,NQ,I was flicking through a holiday brochure to find unique buildings to visit in Switzerland and other countries.,Every,building,looked unique,"in Switzerland,",EXT,MEN,EXT-MEN
22,exp,in Durham,on the website,so I knew just where to go.,city,website,1,Where did I want to stay?,thatched cottages,charming cottages,j,I was on a website trying to find charming cottages to stay at in Durham and other cities.,Every,cottage,on the website,"seemed charming,",INT,MAX,INT-MAX
23,exp,in Finland,in the vlog,so I knew just where to go.,country,vlog,NQ,NQ,NQ,NQ,NQ,I was watching a vlog for inspiration for idyllic cruises to try out in Finland and other countries.,Every,cruise,in Finland,"looked idyllic,",INT,MEN,INT-MEN
24,exp,in Amsterdam,on the app,so I knew just where to go.,city,app,NQ,NQ,NQ,NQ,NQ,I was on a travel app researching romantic getaways to enjoy in Amsterdam and other cities.,Every,getaway,seemed romantic,"on the app,",EXT,MAX,EXT-MAX
25,exp,in Norway,in the blog,so I didn't know what to do.,country,blog,NQ,NQ,NQ,NQ,NQ,I was reading a blog to get some ideas for soothing rivers to explore in Norway and other countries.,Every,river,looked soothing,"in Norway,",EXT,MEN,EXT-MEN
26,exp,in Prague,in the brochure,so I didn't know what to do.,city,brochure,NQ,NQ,NQ,NQ,NQ,I was flicking through a holiday brochure to find lively bars to visit in Prague and other cities.,Every,bar,in the brochure,"seemed lively,",INT,MAX,INT-MAX
27,exp,in Poland,on the website,so I didn't know what to do.,country,website,1,Where did I want to stay?,peaceful cabins,sizeable cabins,f,I was on a website trying to find peaceful cabins to stay at in Poland and other countries.,Every,cabin,in Poland,"looked peaceful,",INT,MEN,INT-MEN
28,exp,in Warsaw,in the vlog,so I didn't know what to do.,city,vlog,1,What did I want to try out?,cheap eateries,funky eateries,j,I was watching a vlog for inspiration for funky eateries to try out in Warsaw and other cities.,Every,eatery,seemed funky,"in the vlog,",EXT,MAX,EXT-MAX
